Origin,Sex,Value,Date
Andorra,Maschio,0,01-01-2012
Andorra,Maschio,0,01-01-2013
Angola,Maschio,1,01-01-1987
Angola,Maschio,1,01-01-1988
Angola,Maschio,2,01-01-1989
Angola,Maschio,5,01-01-1990
Angola,Maschio,12,01-01-1991
Angola,Maschio,0,01-01-1992
Angola,Maschio,17,01-01-1993
Angola,Maschio,19,01-01-1994
Angola,Maschio,21,01-01-1995
Angola,Maschio,19,01-01-1996
Angola,Maschio,20,01-01-1997
Angola,Maschio,25,01-01-1998
Angola,Maschio,27,01-01-1999
Angola,Maschio,23,01-01-2000
Angola,Maschio,30,01-01-2001
Angola,Maschio,35,01-01-2002
Angola,Maschio,30,01-01-2003
Angola,Maschio,32,01-01-2004
Angola,Maschio,30,01-01-2005
Angola,Maschio,29,01-01-2006
Angola,Maschio,30,01-01-2007
Angola,Maschio,26,01-01-2008
Angola,Maschio,27,01-01-2009
Angola,Maschio,27,01-01-2010
Angola,Maschio,27,01-01-2011
Angola,Maschio,27,01-01-2012
Angola,Maschio,27,01-01-2013
Antigua e Barbuda,Maschio,1,01-01-1987
Antigua e Barbuda,Maschio,1,01-01-1988
Antigua e Barbuda,Maschio,1,01-01-1989
Antigua e Barbuda,Maschio,1,01-01-1990
Antigua e Barbuda,Maschio,1,01-01-1991
Antigua e Barbuda,Maschio,0,01-01-1992
Antigua e Barbuda,Maschio,1,01-01-1993
Antigua e Barbuda,Maschio,1,01-01-1994
Antigua e Barbuda,Maschio,0,01-01-1995
Antigua e Barbuda,Maschio,0,01-01-1996
Antigua e Barbuda,Maschio,0,01-01-1997
Antigua e Barbuda,Maschio,0,01-01-1998
Antigua e Barbuda,Maschio,0,01-01-1999
Antigua e Barbuda,Maschio,0,01-01-2000
Antigua e Barbuda,Maschio,0,01-01-2001
Antigua e Barbuda,Maschio,0,01-01-2002
Antigua e Barbuda,Maschio,0,01-01-2003
Antigua e Barbuda,Maschio,0,01-01-2004
Antigua e Barbuda,Maschio,0,01-01-2005
Antigua e Barbuda,Maschio,0,01-01-2006
Antigua e Barbuda,Maschio,0,01-01-2007
Antigua e Barbuda,Maschio,0,01-01-2008
Antigua e Barbuda,Maschio,0,01-01-2009
Antigua e Barbuda,Maschio,0,01-01-2010
Antigua e Barbuda,Maschio,0,01-01-2011
Antigua e Barbuda,Maschio,0,01-01-2012
Antigua e Barbuda,Maschio,0,01-01-2013
Apolide,Maschio,53,01-01-1987
Apolide,Maschio,49,01-01-1988
Apolide,Maschio,48,01-01-1989
Apolide,Maschio,44,01-01-1990
Apolide,Maschio,0,01-01-1991
Apolide,Maschio,0,01-01-1992
Apolide,Maschio,35,01-01-1993
Apolide,Maschio,35,01-01-1994
Apolide,Maschio,33,01-01-1995
Apolide,Maschio,31,01-01-1996
Apolide,Maschio,30,01-01-1997
Apolide,Maschio,29,01-01-1998
Apolide,Maschio,27,01-01-1999
Apolide,Maschio,26,01-01-2000
Apolide,Maschio,25,01-01-2001
Apolide,Maschio,19,01-01-2002
Apolide,Maschio,9,01-01-2003
Apolide,Maschio,8,01-01-2004
Apolide,Maschio,9,01-01-2005
Apolide,Maschio,10,01-01-2006
Apolide,Maschio,9,01-01-2007
Apolide,Maschio,10,01-01-2008
Apolide,Maschio,11,01-01-2009
Apolide,Maschio,12,01-01-2010
Apolide,Maschio,13,01-01-2011
Apolide,Maschio,11,01-01-2012
Apolide,Maschio,11,01-01-2013
Arabia Saudita,Maschio,5,01-01-1987
Arabia Saudita,Maschio,5,01-01-1988
Arabia Saudita,Maschio,5,01-01-1989
Arabia Saudita,Maschio,5,01-01-1990
Arabia Saudita,Maschio,4,01-01-1991
Arabia Saudita,Maschio,0,01-01-1992
Arabia Saudita,Maschio,4,01-01-1993
Arabia Saudita,Maschio,4,01-01-1994
Arabia Saudita,Maschio,4,01-01-1995
Arabia Saudita,Maschio,4,01-01-1996
Arabia Saudita,Maschio,5,01-01-1997
Arabia Saudita,Maschio,4,01-01-1998
Arabia Saudita,Maschio,5,01-01-1999
Arabia Saudita,Maschio,5,01-01-2000
Arabia Saudita,Maschio,5,01-01-2001
Arabia Saudita,Maschio,5,01-01-2002
Arabia Saudita,Maschio,1,01-01-2003
Arabia Saudita,Maschio,1,01-01-2004
Arabia Saudita,Maschio,2,01-01-2005
Arabia Saudita,Maschio,3,01-01-2006
Arabia Saudita,Maschio,3,01-01-2007
Arabia Saudita,Maschio,3,01-01-2008
Arabia Saudita,Maschio,3,01-01-2009
Arabia Saudita,Maschio,3,01-01-2010
Arabia Saudita,Maschio,2,01-01-2011
Arabia Saudita,Maschio,2,01-01-2012
Arabia Saudita,Maschio,2,01-01-2013
Area Ex-Urss,Maschio,24,01-01-1987
Area Ex-Urss,Maschio,26,01-01-1988
Area Ex-Urss,Maschio,27,01-01-1989
Area Ex-Urss,Maschio,31,01-01-1990
Area Ex-Urss,Maschio,54,01-01-1991
Area Ex-Urss,Maschio,0,01-01-1992
Area Ex-Urss,Maschio,65,01-01-1993
Area Ex-Urss,Maschio,77,01-01-1994
Area Ex-Urss,Maschio,0,01-01-1995
Area Ex-Urss,Maschio,0,01-01-1996
Area Ex-Urss,Maschio,0,01-01-1997
Area Ex-Urss,Maschio,0,01-01-1998
Area Ex-Urss,Maschio,0,01-01-1999
Area Ex-Urss,Maschio,0,01-01-2000
Area Ex-Urss,Maschio,0,01-01-2001
Area Ex-Urss,Maschio,0,01-01-2002
Area Ex-Urss,Maschio,0,01-01-2003
Area Ex-Urss,Maschio,0,01-01-2004
Area Ex-Urss,Maschio,0,01-01-2005
Area Ex-Urss,Maschio,0,01-01-2006
Area Ex-Urss,Maschio,0,01-01-2007
Area Ex-Urss,Maschio,0,01-01-2008
Area Ex-Urss,Maschio,0,01-01-2009
Area Ex-Urss,Maschio,0,01-01-2010
Area Ex-Urss,Maschio,0,01-01-2011
Area Ex-Urss,Maschio,0,01-01-2012
Area Ex-Urss,Maschio,0,01-01-2013
Argentina,Maschio,203,01-01-1987
Argentina,Maschio,213,01-01-1988
Argentina,Maschio,214,01-01-1989
Argentina,Maschio,259,01-01-1990
Argentina,Maschio,191,01-01-1991
Argentina,Maschio,294,01-01-1992
Argentina,Maschio,285,01-01-1993
Argentina,Maschio,282,01-01-1994
Argentina,Maschio,282,01-01-1995
Argentina,Maschio,266,01-01-1996
Argentina,Maschio,267,01-01-1997
Argentina,Maschio,279,01-01-1998
Argentina,Maschio,287,01-01-1999
Argentina,Maschio,295,01-01-2000
Argentina,Maschio,304,01-01-2001
Argentina,Maschio,331,01-01-2002
Argentina,Maschio,197,01-01-2003
Argentina,Maschio,224,01-01-2004
Argentina,Maschio,253,01-01-2005
Argentina,Maschio,256,01-01-2006
Argentina,Maschio,254,01-01-2007
Argentina,Maschio,249,01-01-2008
Argentina,Maschio,256,01-01-2009
Argentina,Maschio,268,01-01-2010
Argentina,Maschio,289,01-01-2011
Argentina,Maschio,308,01-01-2012
Argentina,Maschio,289,01-01-2013
Armenia,Maschio,0,01-01-1987
Armenia,Maschio,0,01-01-1988
Armenia,Maschio,0,01-01-1989
Armenia,Maschio,0,01-01-1990
Armenia,Maschio,0,01-01-1991
Armenia,Maschio,0,01-01-1992
Armenia,Maschio,0,01-01-1993
Armenia,Maschio,0,01-01-1994
Armenia,Maschio,0,01-01-1995
Armenia,Maschio,0,01-01-1996
Armenia,Maschio,1,01-01-1997
Armenia,Maschio,1,01-01-1998
Armenia,Maschio,3,01-01-1999
Armenia,Maschio,4,01-01-2000
Armenia,Maschio,5,01-01-2001
Armenia,Maschio,7,01-01-2002
Armenia,Maschio,6,01-01-2003
Armenia,Maschio,7,01-01-2004
Armenia,Maschio,13,01-01-2005
Armenia,Maschio,13,01-01-2006
Armenia,Maschio,15,01-01-2007
Armenia,Maschio,14,01-01-2008
Armenia,Maschio,15,01-01-2009
Armenia,Maschio,18,01-01-2010
Armenia,Maschio,20,01-01-2011
Armenia,Maschio,21,01-01-2012
Armenia,Maschio,25,01-01-2013
Australia,Maschio,37,01-01-1987
Australia,Maschio,39,01-01-1988
Australia,Maschio,41,01-01-1989
Australia,Maschio,41,01-01-1990
Australia,Maschio,21,01-01-1991
Australia,Maschio,0,01-01-1992
Australia,Maschio,50,01-01-1993
Australia,Maschio,53,01-01-1994
Australia,Maschio,55,01-01-1995
Australia,Maschio,63,01-01-1996
Australia,Maschio,63,01-01-1997
Australia,Maschio,65,01-01-1998
Australia,Maschio,65,01-01-1999
Australia,Maschio,70,01-01-2000
Australia,Maschio,70,01-01-2001
Australia,Maschio,65,01-01-2002
Australia,Maschio,28,01-01-2003
Australia,Maschio,31,01-01-2004
Australia,Maschio,37,01-01-2005
Australia,Maschio,40,01-01-2006
Australia,Maschio,41,01-01-2007
Australia,Maschio,42,01-01-2008
Australia,Maschio,44,01-01-2009
Australia,Maschio,46,01-01-2010
Australia,Maschio,58,01-01-2011
Australia,Maschio,60,01-01-2012
Australia,Maschio,62,01-01-2013
Austria,Maschio,242,01-01-1987
Austria,Maschio,247,01-01-1988
Austria,Maschio,237,01-01-1989
Austria,Maschio,232,01-01-1990
Austria,Maschio,108,01-01-1991
Austria,Maschio,219,01-01-1992
Austria,Maschio,214,01-01-1993
Austria,Maschio,211,01-01-1994
Austria,Maschio,205,01-01-1995
Austria,Maschio,203,01-01-1996
Austria,Maschio,196,01-01-1997
Austria,Maschio,208,01-01-1998
Austria,Maschio,205,01-01-1999
Austria,Maschio,203,01-01-2000
Austria,Maschio,212,01-01-2001
Austria,Maschio,194,01-01-2002
Austria,Maschio,113,01-01-2003
Austria,Maschio,115,01-01-2004
Austria,Maschio,122,01-01-2005
Austria,Maschio,120,01-01-2006
Austria,Maschio,117,01-01-2007
Austria,Maschio,124,01-01-2008
Austria,Maschio,134,01-01-2009
Austria,Maschio,138,01-01-2010
Austria,Maschio,136,01-01-2011
Austria,Maschio,138,01-01-2012
Austria,Maschio,120,01-01-2013
Azerbaigian,Maschio,0,01-01-1987
Azerbaigian,Maschio,0,01-01-1988
Azerbaigian,Maschio,0,01-01-1989
Azerbaigian,Maschio,0,01-01-1990
Azerbaigian,Maschio,0,01-01-1991
Azerbaigian,Maschio,0,01-01-1992
Azerbaigian,Maschio,0,01-01-1993
Azerbaigian,Maschio,0,01-01-1994
Azerbaigian,Maschio,1,01-01-1995
Azerbaigian,Maschio,1,01-01-1996
Azerbaigian,Maschio,1,01-01-1997
Azerbaigian,Maschio,1,01-01-1998
Azerbaigian,Maschio,1,01-01-1999
Azerbaigian,Maschio,3,01-01-2000
Azerbaigian,Maschio,8,01-01-2001
Azerbaigian,Maschio,8,01-01-2002
Azerbaigian,Maschio,7,01-01-2003
Azerbaigian,Maschio,3,01-01-2004
Azerbaigian,Maschio,8,01-01-2005
Azerbaigian,Maschio,8,01-01-2006
Azerbaigian,Maschio,9,01-01-2007
Azerbaigian,Maschio,10,01-01-2008
Azerbaigian,Maschio,14,01-01-2009
Azerbaigian,Maschio,13,01-01-2010
Azerbaigian,Maschio,10,01-01-2011
Azerbaigian,Maschio,11,01-01-2012
Azerbaigian,Maschio,10,01-01-2013
Bahama,Maschio,0,01-01-1987
Bahama,Maschio,0,01-01-1988
Bahama,Maschio,0,01-01-1989
Bahama,Maschio,0,01-01-1990
Bahama,Maschio,1,01-01-1991
Bahama,Maschio,0,01-01-1992
Bahama,Maschio,0,01-01-1993
Bahama,Maschio,0,01-01-1994
Bahama,Maschio,0,01-01-1995
Bahama,Maschio,0,01-01-1996
Bahama,Maschio,0,01-01-1997
Bahama,Maschio,0,01-01-1998
Bahama,Maschio,0,01-01-1999
